affiliation,level,season,number
SFG,Other,1955,6
MIN,Other,1941,6
BOS,Other,1957,6
PHI,Other,1960,6
PHI,Other,1961,6
PHI,Other,1958,6
CHW,Other,1951,5
CHW,Other,1952,5
STL,Other,1945,5
DET,Other,1940,5
BAL,Other,1958,5
PIT,Other,1936,5
DET,Other,1950,5
CHW,Other,1950,5
DET,Other,1951,5
DET,Other,1938,5
STL,Other,1961,5
DET,Other,1953,5
DET,Other,1954,5
DET,Other,1952,5
PHI,Other,1962,5
CHW,Other,1953,5
CIN,Other,1953,5
ATL,Other,1937,5
PHI,Other,1939,5
CHW,Other,1936,5
CHW,Other,1960,5
STL,Other,1934,5
CIN,Other,1961,5
CHW,Other,1959,5
PIT,Other,1942,5
CHW,Other,1940,5
CIN,Other,1958,5
CIN,Other,1950,5
CLE,Other,1960,5
CLE,Other,1958,5
CHW,Other,1957,5
CHW,Other,1962,5
MIN,Other,1959,5
OAK,Other,1953,5
BOS,Other,1951,5
CHC,Other,1937,5
MIN,Other,1947,5
BAL,Other,1942,5
SFG,Other,1936,5
BOS,Other,1962,5
BOS,Other,1950,5
MIN,Other,1955,5
MIN,Other,1956,5
CHC,Other,1944,5
MIN,Other,1937,5
MIN,Other,1960,5
OAK,Other,1946,5
NYM,Other,1962,5
OAK,Other,1955,5
CHC,Other,1958,5
NYY,Other,1962,5
SFG,Other,1941,5
NYY,Other,1961,5
BOS,Other,1942,5
HOU,Other,1962,5
CHC,Other,1961,5
BOS,Other,1936,5
LAD,Other,1944,5
DET,Other,1962,5
BOS,Other,1956,5
CHW,Other,1954,4
CHW,Other,1955,4
CHW,A,1965,4
BOS,Other,1955,4
BOS,Other,1958,4
BOS,Other,1959,4
BOS,Other,1960,4
CHW,Other,1956,4
CIN,A,1963,4
BOS,Other,1954,4
CHW,Other,1958,4
BOS,Other,1953,4
ATL,A,1989,4
BAL,A,1965,4
ATL,A,1988,4
BAL,A,1964,4
ATL,A,1967,4
BAL,A,1963,4
BOS,Other,1961,4
ATL,Rk,1993,4
CHC,A,1963,4
CHC,A,1965,4
CHW,A,1963,4
CHC,Other,1962,4
CHC,Other,1960,4
CHW,A,1966,4
ATL,Other,1942,4
BOS,A,1963,4
BOS,A,1964,4
BOS,A,1965,4
BOS,A,1966,4
CHC,Other,1943,4
BOS,A,1967,4
BOS,A,1968,4
ATL,Other,1940,4
CHC,Other,1940,4
BOS,A,1969,4
BOS,A,1970,4
CHC,A,1989,4
BOS,A,1971,4
ATL,Rk,1986,4
ATL,Rk,1987,4
ATL,Rk,1988,4
ATL,Rk,1989,4
ATL,Rk,1990,4
ATL,Rk,1991,4
ATL,Other,1938,4
ATL,Rk,1992,4
CHW,A,1964,4
ATL,Rk,1994,4
CHC,A,1988,4
CHC,Other,1959,4
LAD,FRk,2002,4
CIN,A,1964,4
PIT,A,1968,4
PHI,A-,1967,4
PHI,Other,1945,4
PIT,A,1963,4
PIT,A,1964,4
PIT,A,1965,4
PIT,A,1966,4
PIT,A,1967,4
PIT,Other,1938,4
CIN,Other,1934,4
SDP,A,1983,4
SEA,FRk,2015,4
SFG,A,1963,4
SFG,A,1964,4
SFG,A,1965,4
SFG,A,1966,4
SFG,AAA,1946,4
PHI,A,1985,4
PHI,A,1967,4
PHI,A,1966,4
PHI,A,1965,4
NYY,Other,1936,4
NYY,Rk,2015,4
NYY,Rk,2016,4
NYY,Rk,2017,4
NYY,Rk,2018,4
NYY,Rk,2019,4
OAK,A,1963,4
OAK,A,1964,4
OAK,A,1965,4
OAK,A,1966,4
OAK,A,1967,4
OAK,A,1968,4
OAK,Other,1954,4
PHI,A,1963,4
PHI,A,1964,4
SFG,Other,1937,4
SFG,Other,1938,4
SFG,Other,1939,4
STL,A,1987,4
STL,A,1989,4
STL,AA,1936,4
STL,AA,1937,4
STL,AA,1938,4
STL,AA,1939,4
STL,AA,1940,4
STL,AA,1941,4
STL,AA,1942,4
STL,AA,1943,4
STL,AA,1944,4
STL,Other,1943,4
STL,Other,1944,4
STL,Other,1962,4
TEX,A,1963,4
TEX,Other,1962,4
STL,A,1988,4
STL,A,1986,4
SFG,Other,1944,4
STL,A,1985,4
STL,A,1933,4
STL,A,1954,4
STL,A,1963,4
STL,A,1964,4
STL,A,1965,4
STL,A,1966,4
STL,A,1967,4
STL,A,1968,4
STL,A,1969,4
STL,A,1970,4
STL,A,1971,4
STL,A,1972,4
STL,A,1982,4
STL,A,1983,4
STL,A,1984,4
NYY,Other,1935,4
NYY,AA,1937,4
NYY,A,1966,4
DET,A,1966,4
DET,A,1971,4
DET,A,1972,4
DET,A,1973,4
DET,Other,1935,4
DET,Other,1946,4
DET,Other,1959,4
DET,Other,1960,4
HOU,A,1963,4
HOU,A,1965,4
HOU,A,1966,4
KCR,Rk,1971,4
KCR,Rk,1972,4
KCR,Rk,1973,4
KCR,Rk,2007,4
KCR,Rk,2008,4
DET,A,1967,4
DET,A,1965,4
KCR,Rk,2010,4
DET,A,1964,4
CIN,Other,1935,4
CIN,Other,1942,4
CIN,Other,1959,4
CIN,Other,1960,4
CIN,Other,1962,4
CIN,Rk,2018,4
CIN,Rk,2019,4
CLE,A,1951,4
CLE,A,1963,4
CLE,FRk,2002,4
CLE,FRk,2003,4
CLE,Other,1932,4
CLE,Other,1935,4
CLE,Other,1962,4
DET,A,1963,4
KCR,Rk,2009,4
KCR,Rk,2011,4
NYY,A,1965,4
MIL,Rk,2019,4
MIN,A,1964,4
MIN,A,1965,4
MIN,A,1966,4
MIN,A,1967,4
MIN,A,1968,4
MIN,A,1969,4
MIN,A,1970,4
MIN,A,1971,4
MIN,A,1972,4
MIN,Other,1938,4
MIN,Other,1946,4
MIN,Other,1953,4
NYY,A,1947,4
NYY,A,1963,4
NYY,A,1964,4
MIN,A,1963,4
LAD,Rk,2019,4
KCR,Rk,2012,4
ATL,A,1963,4
KCR,Rk,2013,4
KCR,Rk,2015,4
KCR,Rk,2016,4
KCR,Rk,2017,4
KCR,Rk,2018,4
KCR,Rk,2019,4
LAD,A,1950,4
LAD,A,1963,4
LAD,A,1964,4
LAD,A,1965,4
LAD,AAA,1949,4
LAD,AAA,1950,4
LAD,AAA,1958,4
LAD,AAA,1959,4
LAD,AAA,1960,4
